N,P,K,resistivitas,suhu,kelembapan,kesehatan_day,urea_bulk,TSP_bulk,KCL_bulk,urea_mat,TSP_mat,KCL_mat
174,5,77,116,24,86,0,0,82.60869565,195,0,78.26086957,175
161,18,111,114,20,84,0,0,54.34782609,138.3333333,0,50,118.3333333
293,8,199,125,23,75,1,0,76.08695652,0,0,71.73913043,0
355,18,168,127,21,92,0,0,54.34782609,43.33333333,0,50,23.33333333
153,18,80,121,24,89,0,0,54.34782609,190,0,50,170
296,19,163,127,18,77,1,0,52.17391304,51.66666667,0,47.82608696,31.66666667
273,14,97,155,18,88,0,0,63.04347826,161.6666667,0,58.69565217,141.6666667
330,17,165,80,24,82,0,0,56.52173913,48.33333333,0,52.17391304,28.33333333
396,21,161,183,22,97,0,0,47.82608696,55,0,43.47826087,35
279,21,119,162,24,86,0,0,47.82608696,125,0,43.47826087,105
218,15,177,170,24,77,1,0,60.86956522,28.33333333,0,56.52173913,8.333333333
382,14,72,108,24,94,0,0,63.04347826,203.3333333,0,58.69565217,183.3333333
213,17,191,162,22,73,0,0,56.52173913,5,0,52.17391304,0
274,13,151,129,21,78,1,0,65.21739130,71.66666667,0,60.86956522,51.66666667
339,16,195,146,20,76,1,0,58.69565217,0,0,54.34782609,0
47,15,106,84,21,88,0,171.7391304,60.86956522,146.6666667,154.3478261,56.52173913,126.6666667
392,12,130,129,21,93,0,0,67.39130435,106.6666667,0,63.04347826,86.66666667
184,20,169,124,20,74,1,0,50.00000000,41.66666667,0,45.65217391,21.66666667
290,16,189,184,21,93,0,0,58.69565217,8.333333333,0,54.34782609,0
318,5,82,149,23,97,0,0,82.60869565,186.6666667,0,78.26086957,166.6666667
304,10,192,124,23,89,0,0,71.73913043,3.333333333,0,67.39130435,0
52,14,200,96,23,88,0,160.8695652,63.04347826,0,143.4782609,58.69565217,0
241,13,124,159,21,95,0,0,65.21739130,116.6666667,0,60.86956522,96.66666667
73,20,176,174,20,87,0,115.2173913,50.00000000,30,97.82608696,45.65217391,10
337,21,124,100,23,86,0,0,47.82608696,116.6666667,0,43.47826087,96.66666667
167,15,162,179,20,80,0,0,60.86956522,53.33333333,0,56.52173913,33.33333333
297,18,121,79,20,96,0,0,54.34782609,121.6666667,0,50,101.6666667
221,20,191,183,24,79,0,0,50.00000000,5,0,45.65217391,0
102,21,115,84,18,71,1,52.17391304,47.82608696,131.6666667,34.7826087,43.47826087,111.6666667
135,20,96,153,18,81,0,0,50.00000000,163.3333333,0,45.65217391,143.3333333
317,5,170,181,23,73,1,0,82.60869565,40,0,78.26086957,20
152,15,195,152,22,97,0,0,60.86956522,0,0,56.52173913,0
154,13,145,177,21,90,0,0,65.21739130,81.66666667,0,60.86956522,61.66666667
157,12,129,96,20,77,1,0,67.39130435,108.3333333,0,63.04347826,88.33333333
281,14,194,168,22,96,0,0,63.04347826,0,0,58.69565217,0
386,8,87,127,22,85,0,0,76.08695652,178.3333333,0,71.73913043,158.3333333
62,12,78,162,22,73,1,139.1304348,67.39130435,193.3333333,121.7391304,63.04347826,173.3333333
208,15,183,104,21,80,0,0,60.86956522,18.33333333,0,56.52173913,0
296,17,177,121,19,76,0,0,56.52173913,28.33333333,0,52.17391304,8.333333333
159,20,194,159,23,77,1,0,50.00000000,0,0,45.65217391,0
198,17,166,133,18,94,0,0,56.52173913,46.66666667,0,52.17391304,26.66666667
389,17,158,107,24,74,1,0,56.52173913,60,0,52.17391304,40
204,20,81,138,19,87,0,0,50.00000000,188.3333333,0,45.65217391,168.3333333
118,17,148,108,19,76,1,17.39130435,56.52173913,76.66666667,0,52.17391304,56.66666667
226,17,83,168,23,80,0,0,56.52173913,185,0,52.17391304,165
335,20,194,169,22,74,1,0,50.00000000,0,0,45.65217391,0
372,10,67,168,24,87,0,0,71.73913043,211.6666667,0,67.39130435,191.6666667
194,10,199,116,23,76,1,0,71.73913043,0,0,67.39130435,0
137,6,181,87,20,82,0,0,80.43478261,21.66666667,0,76.08695652,1.666666667
164,16,162,88,22,93,0,0,58.69565217,53.33333333,0,54.34782609,33.33333333
66,5,53,143,24,75,0,130.4347826,82.60869565,235,113.0434783,78.26086957,215
80,14,73,161,21,95,0,100,63.04347826,201.6666667,82.60869565,58.69565217,181.6666667
251,11,159,98,19,78,1,0,69.56521739,58.33333333,0,65.2173913,38.33333333
311,11,52,155,20,93,0,0,69.56521739,236.6666667,0,65.2173913,216.6666667
96,9,168,75,23,85,0,65.2173913,73.91304348,43.33333333,47.82608696,69.56521739,23.33333333
93,16,57,94,23,85,0,71.73913043,58.69565217,228.3333333,54.34782609,54.34782609,208.3333333
212,10,49,165,20,74,0,0,71.73913043,241.6666667,0,67.39130435,221.6666667
363,21,108,103,18,78,1,0,47.82608696,143.3333333,0,43.47826087,123.3333333
359,15,60,157,19,85,0,0,60.86956522,223.3333333,0,56.52173913,203.3333333
136,14,123,127,22,81,0,0,63.04347826,118.3333333,0,58.69565217,98.33333333
352,7,172,103,23,87,0,0,78.26086957,36.66666667,0,73.91304348,16.66666667
299,20,187,171,24,85,0,0,50.00000000,11.66666667,0,45.65217391,0
144,19,87,117,21,96,0,0,52.17391304,178.3333333,0,47.82608696,158.3333333
105,17,106,164,20,97,0,45.65217391,56.52173913,146.6666667,28.26086957,52.17391304,126.6666667
195,20,99,81,18,85,0,0,50.00000000,158.3333333,0,45.65217391,138.3333333
93,10,67,171,23,75,0,71.73913043,71.73913043,211.6666667,54.34782609,67.39130435,191.6666667
355,5,140,79,19,95,0,0,82.60869565,90,0,78.26086957,70
295,21,83,132,23,95,0,0,47.82608696,185,0,43.47826087,165
374,16,182,139,22,77,1,0,58.69565217,20,0,54.34782609,0
288,19,196,169,22,72,1,0,52.17391304,0,0,47.82608696,0
108,21,42,86,21,96,0,39.13043478,47.82608696,253.3333333,21.73913043,43.47826087,233.3333333
149,21,134,86,21,92,0,0,47.82608696,100,0,43.47826087,80
294,14,152,126,23,71,0,0,63.04347826,70,0,58.69565217,50
362,21,109,147,18,88,0,0,47.82608696,141.6666667,0,43.47826087,121.6666667
114,9,55,128,19,85,0,26.08695652,73.91304348,231.6666667,8.695652174,69.56521739,211.6666667
73,5,185,185,23,73,1,115.2173913,82.60869565,15,97.82608696,78.26086957,0
53,6,176,183,24,91,0,158.6956522,80.43478261,30,141.3043478,76.08695652,10
152,6,177,139,18,80,0,0,80.43478261,28.33333333,0,76.08695652,8.333333333
408,6,91,149,23,95,0,0,80.43478261,171.6666667,0,76.08695652,151.6666667
41,13,83,95,22,73,1,184.7826087,65.21739130,185,167.3913043,60.86956522,165
392,9,82,102,19,75,0,0,73.91304348,186.6666667,0,69.56521739,166.6666667
181,14,166,177,21,79,0,0,63.04347826,46.66666667,0,58.69565217,26.66666667
326,5,47,91,20,76,1,0,82.60869565,245,0,78.26086957,225
369,15,137,124,22,91,0,0,60.86956522,95,0,56.52173913,75
188,18,58,179,21,94,0,0,54.34782609,226.6666667,0,50,206.6666667
145,21,178,176,19,84,0,0,47.82608696,26.66666667,0,43.47826087,6.666666667
204,6,173,176,23,79,1,0,80.43478261,35,0,76.08695652,15
83,13,190,90,24,93,0,93.47826087,65.21739130,6.666666667,76.08695652,60.86956522,0
101,21,89,185,19,72,0,54.34782609,47.82608696,175,36.95652174,43.47826087,155
177,12,72,127,20,73,1,0,67.39130435,203.3333333,0,63.04347826,183.3333333
225,21,115,98,19,76,1,0,47.82608696,131.6666667,0,43.47826087,111.6666667
134,6,169,154,24,93,0,0,80.43478261,41.66666667,0,76.08695652,21.66666667
174,18,64,103,19,86,0,0,54.34782609,216.6666667,0,50,196.6666667
195,19,81,96,18,88,0,0,52.17391304,188.3333333,0,47.82608696,168.3333333
393,21,51,105,22,89,0,0,47.82608696,238.3333333,0,43.47826087,218.3333333
346,10,90,108,18,97,0,0,71.73913043,173.3333333,0,67.39130435,153.3333333
300,7,170,180,18,93,0,0,78.26086957,40,0,73.91304348,20
318,16,157,174,24,86,0,0,58.69565217,61.66666667,0,54.34782609,41.66666667
149,11,43,129,23,97,0,0,69.56521739,251.6666667,0,65.2173913,231.6666667
78,9,196,172,23,92,0,104.3478261,73.91304348,0,86.95652174,69.56521739,0
314,5,142,126,23,91,0,0,82.60869565,86.66666667,0,78.26086957,66.66666667
292,9,84,84,21,70,1,0,73.91304348,183.3333333,0,69.56521739,163.3333333
243,21,78,122,19,79,0,0,47.82608696,193.3333333,0,43.47826087,173.3333333
348,9,40,93,19,94,0,0,73.91304348,256.6666667,0,69.56521739,236.6666667
414,13,86,130,18,83,0,0,65.21739130,180,0,60.86956522,160
249,10,151,111,20,91,0,0,71.73913043,71.66666667,0,67.39130435,51.66666667
219,12,45,78,21,75,1,0,67.39130435,248.3333333,0,63.04347826,228.3333333
335,6,151,166,22,96,0,0,80.43478261,71.66666667,0,76.08695652,51.66666667
157,7,195,117,23,76,1,0,78.26086957,0,0,73.91304348,0
365,11,86,109,21,81,0,0,69.56521739,180,0,65.2173913,160
412,11,182,150,22,86,0,0,69.56521739,20,0,65.2173913,0
290,10,176,127,21,73,1,0,71.73913043,30,0,67.39130435,10
137,12,138,104,20,89,0,0,67.39130435,93.33333333,0,63.04347826,73.33333333
282,8,127,176,21,91,0,0,76.08695652,111.6666667,0,71.73913043,91.66666667
121,21,70,183,21,92,0,10.86956522,47.82608696,206.6666667,0,43.47826087,186.6666667
298,11,95,156,23,85,0,0,69.56521739,165,0,65.2173913,145
203,7,182,174,24,87,0,0,78.26086957,20,0,73.91304348,0
300,21,140,94,19,89,0,0,47.82608696,90,0,43.47826087,70
207,10,112,166,19,74,0,0,71.73913043,136.6666667,0,67.39130435,116.6666667
186,14,186,84,22,82,0,0,63.04347826,13.33333333,0,58.69565217,0
48,19,65,78,22,82,0,169.5652174,52.17391304,215,152.173913,47.82608696,195
362,16,76,117,21,86,0,0,58.69565217,196.6666667,0,54.34782609,176.6666667
131,12,140,169,23,83,0,0,67.39130435,90,0,63.04347826,70
335,10,171,144,21,84,0,0,71.73913043,38.33333333,0,67.39130435,18.33333333
314,11,150,154,22,87,0,0,69.56521739,73.33333333,0,65.2173913,53.33333333
262,12,196,177,23,88,0,0,67.39130435,0,0,63.04347826,0
366,8,158,102,19,77,1,0,76.08695652,60,0,71.73913043,40
348,17,152,145,22,83,0,0,56.52173913,70,0,52.17391304,50
381,9,176,130,19,75,1,0,73.91304348,30,0,69.56521739,10
275,16,89,141,19,74,1,0,58.69565217,175,0,54.34782609,155
182,21,173,167,23,91,0,0,47.82608696,35,0,43.47826087,15
60,20,198,139,18,95,0,143.4782609,50.00000000,0,126.0869565,45.65217391,0
122,10,91,169,20,88,0,8.695652174,71.73913043,171.6666667,0,67.39130435,151.6666667
253,15,108,125,18,71,1,0,60.86956522,143.3333333,0,56.52173913,123.3333333
406,5,118,139,18,74,1,0,82.60869565,126.6666667,0,78.26086957,106.6666667
290,5,180,77,19,94,0,0,82.60869565,23.33333333,0,78.26086957,3.333333333
380,5,179,132,23,76,0,0,82.60869565,25,0,78.26086957,5
415,17,148,184,23,94,0,0,56.52173913,76.66666667,0,52.17391304,56.66666667
98,20,154,165,20,97,0,60.86956522,50.00000000,66.66666667,43.47826087,45.65217391,46.66666667
392,10,158,122,21,93,0,0,71.73913043,60,0,67.39130435,40
216,7,131,175,24,91,0,0,78.26086957,105,0,73.91304348,85
67,11,96,159,19,84,0,128.2608696,69.56521739,163.3333333,110.8695652,65.2173913,143.3333333
258,18,181,88,20,92,0,0,54.34782609,21.66666667,0,50,1.666666667
220,20,136,111,20,75,0,0,50.00000000,96.66666667,0,45.65217391,76.66666667
149,9,45,109,24,93,0,0,73.91304348,248.3333333,0,69.56521739,228.3333333
312,19,154,83,21,89,0,0,52.17391304,66.66666667,0,47.82608696,46.66666667
187,9,167,93,19,95,0,0,73.91304348,45,0,69.56521739,25
375,6,61,182,19,84,0,0,80.43478261,221.6666667,0,76.08695652,201.6666667
141,17,116,139,23,74,1,0,56.52173913,130,0,52.17391304,110
198,21,143,102,20,84,0,0,47.82608696,85,0,43.47826087,65
95,7,181,167,23,95,0,67.39130435,78.26086957,21.66666667,50,73.91304348,1.666666667
397,6,130,144,20,82,0,0,80.43478261,106.6666667,0,76.08695652,86.66666667
403,19,109,165,20,78,1,0,52.17391304,141.6666667,0,47.82608696,121.6666667
259,14,145,154,22,97,0,0,63.04347826,81.66666667,0,58.69565217,61.66666667
170,14,103,144,24,72,1,0,63.04347826,151.6666667,0,58.69565217,131.6666667
187,6,134,77,21,94,0,0,80.43478261,100,0,76.08695652,80
304,10,45,167,22,97,0,0,71.73913043,248.3333333,0,67.39130435,228.3333333
342,12,160,154,18,88,0,0,67.39130435,56.66666667,0,63.04347826,36.66666667
370,8,196,149,24,91,0,0,76.08695652,0,0,71.73913043,0
145,6,178,170,19,91,0,0,80.43478261,26.66666667,0,76.08695652,6.666666667
333,16,139,100,23,92,0,0,58.69565217,91.66666667,0,54.34782609,71.66666667
306,17,159,144,22,83,0,0,56.52173913,58.33333333,0,52.17391304,38.33333333
261,18,88,147,22,92,0,0,54.34782609,176.6666667,0,50,156.6666667
171,11,171,160,18,75,1,0,69.56521739,38.33333333,0,65.2173913,18.33333333
363,15,131,150,19,78,1,0,60.86956522,105,0,56.52173913,85
49,9,113,155,23,82,0,167.3913043,73.91304348,135,150,69.56521739,115
379,19,100,129,21,88,0,0,52.17391304,156.6666667,0,47.82608696,136.6666667
105,18,123,159,20,92,0,45.65217391,54.34782609,118.3333333,28.26086957,50,98.33333333
287,19,179,104,21,71,1,0,52.17391304,25,0,47.82608696,5
64,7,189,103,19,96,0,134.7826087,78.26086957,8.333333333,117.3913043,73.91304348,0
55,17,176,97,22,77,0,154.3478261,56.52173913,30,136.9565217,52.17391304,10
379,19,111,118,22,87,0,0,52.17391304,138.3333333,0,47.82608696,118.3333333
59,13,166,148,23,75,1,145.6521739,65.21739130,46.66666667,128.2608696,60.86956522,26.66666667
219,12,126,146,19,94,0,0,67.39130435,113.3333333,0,63.04347826,93.33333333
108,20,126,173,19,81,0,39.13043478,50.00000000,113.3333333,21.73913043,45.65217391,93.33333333
306,9,195,108,24,97,0,0,73.91304348,0,0,69.56521739,0
209,8,46,171,21,89,0,0,76.08695652,246.6666667,0,71.73913043,226.6666667
93,9,70,115,24,81,0,71.73913043,73.91304348,206.6666667,54.34782609,69.56521739,186.6666667
225,13,69,165,21,94,0,0,65.21739130,208.3333333,0,60.86956522,188.3333333
51,19,149,164,19,85,0,163.0434783,52.17391304,75,145.6521739,47.82608696,55
280,18,98,96,19,73,1,0,54.34782609,160,0,50,140
347,11,44,120,23,87,0,0,69.56521739,250,0,65.2173913,230
312,10,80,138,22,79,1,0,71.73913043,190,0,67.39130435,170
308,5,42,118,20,85,0,0,82.60869565,253.3333333,0,78.26086957,233.3333333
234,5,136,103,20,77,1,0,82.60869565,96.66666667,0,78.26086957,76.66666667
78,13,109,133,24,83,0,104.3478261,65.21739130,141.6666667,86.95652174,60.86956522,121.6666667
378,13,62,104,18,74,1,0,65.21739130,220,0,60.86956522,200
379,10,174,185,23,80,0,0,71.73913043,33.33333333,0,67.39130435,13.33333333
359,10,167,144,22,92,0,0,71.73913043,45,0,67.39130435,25
287,7,79,90,21,91,0,0,78.26086957,191.6666667,0,73.91304348,171.6666667
232,11,40,106,21,79,0,0,69.56521739,256.6666667,0,65.2173913,236.6666667
46,14,186,152,19,72,0,173.9130435,63.04347826,13.33333333,156.5217391,58.69565217,0
211,16,55,135,18,74,1,0,58.69565217,231.6666667,0,54.34782609,211.6666667
221,10,59,138,20,90,0,0,71.73913043,225,0,67.39130435,205
159,5,133,127,19,85,0,0,82.60869565,101.6666667,0,78.26086957,81.66666667
96,21,122,120,20,91,0,65.2173913,47.82608696,120,47.82608696,43.47826087,100
374,14,155,142,24,87,0,0,63.04347826,65,0,58.69565217,45
151,9,194,166,20,79,1,0,73.91304348,0,0,69.56521739,0
363,14,67,105,22,74,1,0,63.04347826,211.6666667,0,58.69565217,191.6666667
384,16,188,163,21,97,0,0,58.69565217,10,0,54.34782609,0
146,6,70,122,22,88,0,0,80.43478261,206.6666667,0,76.08695652,186.6666667
176,11,71,158,22,89,0,0,69.56521739,205,0,65.2173913,185
174,14,121,95,22,76,1,0,63.04347826,121.6666667,0,58.69565217,101.6666667
122,7,59,98,22,92,0,8.695652174,78.26086957,225,0,73.91304348,205
271,21,177,181,20,74,0,0,47.82608696,28.33333333,0,43.47826087,8.333333333
319,8,44,165,20,93,0,0,76.08695652,250,0,71.73913043,230
344,12,153,162,21,77,1,0,67.39130435,68.33333333,0,63.04347826,48.33333333
412,10,118,83,19,88,0,0,71.73913043,126.6666667,0,67.39130435,106.6666667
216,13,97,142,20,73,0,0,65.21739130,161.6666667,0,60.86956522,141.6666667
104,5,171,78,21,75,1,47.82608696,82.60869565,38.33333333,30.43478261,78.26086957,18.33333333
398,14,174,154,18,81,0,0,63.04347826,33.33333333,0,58.69565217,13.33333333
194,18,106,125,19,83,0,0,54.34782609,146.6666667,0,50,126.6666667
116,7,165,116,23,71,1,21.73913043,78.26086957,48.33333333,4.347826087,73.91304348,28.33333333
135,5,79,182,24,89,0,0,82.60869565,191.6666667,0,78.26086957,171.6666667
261,20,83,106,24,78,1,0,50.00000000,185,0,45.65217391,165
175,6,62,183,18,80,0,0,80.43478261,220,0,76.08695652,200
87,16,144,171,19,70,1,84.7826087,58.69565217,83.33333333,67.39130435,54.34782609,63.33333333
69,12,91,164,21,75,1,123.9130435,67.39130435,171.6666667,106.5217391,63.04347826,151.6666667
409,6,57,160,22,71,1,0,80.43478261,228.3333333,0,76.08695652,208.3333333
355,12,107,128,21,75,1,0,67.39130435,145,0,63.04347826,125
105,21,61,130,22,95,0,45.65217391,47.82608696,221.6666667,28.26086957,43.47826087,201.6666667
60,10,68,127,21,91,0,143.4782609,71.73913043,210,126.0869565,67.39130435,190
212,5,95,84,22,72,1,0,82.60869565,165,0,78.26086957,145
111,15,139,156,20,97,0,32.60869565,60.86956522,91.66666667,15.2173913,56.52173913,71.66666667
224,11,194,90,19,77,1,0,69.56521739,0,0,65.2173913,0
135,15,177,185,19,72,0,0,60.86956522,28.33333333,0,56.52173913,8.333333333
279,14,142,83,21,95,0,0,63.04347826,86.66666667,0,58.69565217,66.66666667
410,5,191,89,24,93,0,0,82.60869565,5,0,78.26086957,0
400,11,119,103,19,84,0,0,69.56521739,125,0,65.2173913,105
139,10,106,172,18,82,0,0,71.73913043,146.6666667,0,67.39130435,126.6666667
78,14,134,169,23,91,0,104.3478261,63.04347826,100,86.95652174,58.69565217,80
401,16,96,125,24,80,0,0,58.69565217,163.3333333,0,54.34782609,143.3333333
347,12,193,170,22,73,1,0,67.39130435,1.666666667,0,63.04347826,0
285,5,103,113,23,70,1,0,82.60869565,151.6666667,0,78.26086957,131.6666667
280,7,116,121,21,76,0,0,78.26086957,130,0,73.91304348,110
139,14,108,128,20,71,1,0,63.04347826,143.3333333,0,58.69565217,123.3333333
361,21,83,128,19,83,0,0,47.82608696,185,0,43.47826087,165
138,12,121,158,18,85,0,0,67.39130435,121.6666667,0,63.04347826,101.6666667
201,11,161,77,24,70,1,0,69.56521739,55,0,65.2173913,35
54,9,148,107,23,92,0,156.5217391,73.91304348,76.66666667,139.1304348,69.56521739,56.66666667
155,17,77,121,24,78,0,0,56.52173913,195,0,52.17391304,175
70,10,43,99,22,75,1,121.7391304,71.73913043,251.6666667,104.3478261,67.39130435,231.6666667
146,8,148,103,19,82,0,0,76.08695652,76.66666667,0,71.73913043,56.66666667
154,14,177,103,18,89,0,0,63.04347826,28.33333333,0,58.69565217,8.333333333
72,18,106,94,20,83,0,117.3913043,54.34782609,146.6666667,100,50,126.6666667
413,19,148,184,18,80,0,0,52.17391304,76.66666667,0,47.82608696,56.66666667
231,8,115,84,23,70,1,0,76.08695652,131.6666667,0,71.73913043,111.6666667
146,12,56,90,24,88,0,0,67.39130435,230,0,63.04347826,210
40,9,55,152,19,85,0,186.9565217,73.91304348,231.6666667,169.5652174,69.56521739,211.6666667
296,13,66,118,21,96,0,0,65.21739130,213.3333333,0,60.86956522,193.3333333
50,6,80,82,22,95,0,165.2173913,80.43478261,190,147.826087,76.08695652,170
379,9,101,86,19,77,0,0,73.91304348,155,0,69.56521739,135
312,21,174,76,24,84,0,0,47.82608696,33.33333333,0,43.47826087,13.33333333
77,6,150,160,24,83,0,106.5217391,80.43478261,73.33333333,89.13043478,76.08695652,53.33333333
338,21,113,121,22,78,1,0,47.82608696,135,0,43.47826087,115
186,21,81,182,23,94,0,0,47.82608696,188.3333333,0,43.47826087,168.3333333
160,13,128,152,18,89,0,0,65.21739130,110,0,60.86956522,90
375,8,165,139,21,88,0,0,76.08695652,48.33333333,0,71.73913043,28.33333333
277,12,68,185,18,89,0,0,67.39130435,210,0,63.04347826,190
160,14,149,120,19,70,1,0,63.04347826,75,0,58.69565217,55
129,21,111,175,20,89,0,0,47.82608696,138.3333333,0,43.47826087,118.3333333
374,15,86,144,20,74,1,0,60.86956522,180,0,56.52173913,160
350,18,175,180,18,87,0,0,54.34782609,31.66666667,0,50,11.66666667
396,6,162,158,20,93,0,0,80.43478261,53.33333333,0,76.08695652,33.33333333
230,9,55,80,23,80,0,0,73.91304348,231.6666667,0,69.56521739,211.6666667
120,16,138,146,21,84,0,13.04347826,58.69565217,93.33333333,0,54.34782609,73.33333333
45,15,160,139,18,72,1,176.0869565,60.86956522,56.66666667,158.6956522,56.52173913,36.66666667
84,8,55,118,21,86,0,91.30434783,76.08695652,231.6666667,73.91304348,71.73913043,211.6666667
249,15,147,151,22,90,0,0,60.86956522,78.33333333,0,56.52173913,58.33333333
379,9,81,92,23,87,0,0,73.91304348,188.3333333,0,69.56521739,168.3333333
268,12,195,178,22,92,0,0,67.39130435,0,0,63.04347826,0
408,11,192,152,21,88,0,0,69.56521739,3.333333333,0,65.2173913,0
343,18,65,159,18,95,0,0,54.34782609,215,0,50,195
42,17,109,161,18,78,1,182.6086957,56.52173913,141.6666667,165.2173913,52.17391304,121.6666667
259,16,153,136,24,81,0,0,58.69565217,68.33333333,0,54.34782609,48.33333333
207,21,45,125,22,74,1,0,47.82608696,248.3333333,0,43.47826087,228.3333333
361,8,114,106,21,76,1,0,76.08695652,133.3333333,0,71.73913043,113.3333333
300,17,69,105,23,80,0,0,56.52173913,208.3333333,0,52.17391304,188.3333333
352,12,58,138,19,96,0,0,67.39130435,226.6666667,0,63.04347826,206.6666667
357,16,75,96,24,93,0,0,58.69565217,198.3333333,0,54.34782609,178.3333333
188,18,183,119,22,79,0,0,54.34782609,18.33333333,0,50,0
159,12,149,89,22,86,0,0,67.39130435,75,0,63.04347826,55
403,16,183,183,22,97,0,0,58.69565217,18.33333333,0,54.34782609,0
258,16,197,105,22,81,0,0,58.69565217,0,0,54.34782609,0
127,11,131,178,20,86,0,0,69.56521739,105,0,65.2173913,85
317,19,49,88,23,74,1,0,52.17391304,241.6666667,0,47.82608696,221.6666667
135,18,129,114,18,71,0,0,54.34782609,108.3333333,0,50,88.33333333
296,7,62,130,22,97,0,0,78.26086957,220,0,73.91304348,200
186,9,57,166,18,83,0,0,73.91304348,228.3333333,0,69.56521739,208.3333333
220,15,177,142,24,79,1,0,60.86956522,28.33333333,0,56.52173913,8.333333333
52,15,78,106,23,87,0,160.8695652,60.86956522,193.3333333,143.4782609,56.52173913,173.3333333
208,20,125,185,22,92,0,0,50.00000000,115,0,45.65217391,95
403,12,70,105,23,85,0,0,67.39130435,206.6666667,0,63.04347826,186.6666667
230,21,168,185,18,84,0,0,47.82608696,43.33333333,0,43.47826087,23.33333333
